VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,VIOLATION TYPE
02A,Food not cooked to required minimum temperature.,Critical,Temperature
02B,Hot food item not held at or above 140º F.,Critical,Temperature
02B,Hot food item not held at or above 140Âº F.,Critical,Temperature
02C,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65º F or above within 2 hours.,Critical,Temperature
02C,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65Âº F or above within 2 hours.,Critical,Temperature
02D,"Precooked potentially hazardous food from commercial food processing establishment that is supposed to be heated, but is not heated to 140º F within 2 hours.",Critical,Temperature
02D,"Precooked potentially hazardous food from commercial food processing establishment that is supposed to be heated, but is not heated to 140Âº F within 2 hours.",Critical,Temperature
02E,"Whole frozen poultry or poultry breasts, other than a single portion, is being cooked frozen or partially thawed.",Critical,Temperature
02F,"Meat, fish or molluscan shellfish served raw or undercooked without prior notification to customer.",Critical,Temperature
02G,Cold food item held above 41º F (smoked fish and reduced oxygen packaged foods above 38 ºF) except during necessary preparation.,Critical,Temperature
02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,Temperature
02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140º F to 70º F or less within 2 hours, and from 70º F to 41º F or less within 4 additional hours.",Critical,Temperature
02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,Temperature
02I,Food prepared from ingredients at ambient temperature not cooled to 41º F or below within 4 hours.,Critical,Temperature
02I,Food prepared from ingredients at ambient temperature not cooled to 41Âº F or below within 4 hours.,Critical,Temperature
02J,Reduced oxygen packaged (ROP) foods not cooled by an approved method whereby the internal food temperature is reduced to 38º F within two hours of cooking and if necessary further cooled to a temperature of 34º F within six hours of reaching 38º F.,Critical,Temperature
02J,Reduced oxygen packaged (ROP) foods not cooled by an approved method whereby the internal food temperature is reduced to 38Âº F within two hours of cooking and if necessary further cooled to a temperature of 34Âº F within six hours of reaching 38Âº F.,Critical,Temperature
03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Critical,Food Source
03B,"Shellfish not from approved source, improperly tagged/labeled; tags not retained for 90 days.",Critical,Food Source
03C,"Eggs found dirty/cracked; liquid, frozen or powdered eggs not pasteurized.",Critical,Food Handling
03D,"Canned food product observed swollen, leaking or rusted, and not segregated from other consumable food items .",Critical,Food Handling
03E,Potable water supply inadequate. Water or ice not potable or from unapproved source.  Cross connection in potable water supply system observed.,Critical,Food Source
03F,Unpasteurized milk or milk product present.,Critical,Food Source
03G,Raw food not properly washed prior to serving.,Critical,Food Handling
04A,Food Protection Certificate not held by supervisor of food operations.,Critical,Adminstrative
04B,"Food worker prepares food or handles utensil when ill with a disease transmissible by food, or have exposed infected cut or burn on hand.",Critical,Food Handling
04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,Food Handling
04D,"Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.",Critical,Food Handling
04E,"Toxic chemical improperly labeled, stored or used such that food contamination may occur.",Critical,Food Handling
04F,"Food, food preparation area, food storage area, area used by employees or patrons, contaminated by sewage or liquid waste.",Critical,Employee Practices
04G,Unprotected potentially hazardous food re-served.,Critical,Food Handling
04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Critical,Food Handling
04I,Unprotected food re-served.,Critical,Food Handling
04I,"Food item spoiled, adulterated, contaminated or cross-contaminated.",Critical,Food Handling
04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,Poor Equipment
04K,Evidence of rats or live rats present in facility's food and/or non-food areas.,Critical,Rodents/Pests
04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,Rodents/Pests
04M,Live roaches present in facility's food and/or non-food areas.,Critical,Rodents/Pests
04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,Rodents/Pests
04O,Live animals other than fish in tank or service animal present in facility's food and/or non-food areas.,Critical,Rodents/Pests
05A,Sewage disposal system improper or unapproved.,Critical,Poor Equipment
05B,"Harmful, noxious gas or vapor detected. CO ~1 3 ppm.",Critical,Poor Equipment
05C,Food contact surface improperly constructed or located. Unacceptable material used.,Critical,Poor Equipment
05D,Hand washing facility not provided in or near food preparation area and toilet room. Hot and cold running water at adequate pressure to enable cleanliness of employees not provided at facility. Soap and an acceptable hand-drying device not provided.,Critical,Poor Equipment
05E,Toilet facility not provided for employees or for patrons when required.,Critical,Poor Equipment
05F,Insufficient or no refrigerated or hot holding equipment to keep potentially hazardous foods at required temperatures.,Critical,Poor Equipment
05H,"No facilities available to wash, rinse and sanitize utensils and/or equipment.",Critical,Poor Equipment
05I,Refrigeration used to implement HACCP plan not equipped with an electronic system that continuously monitors time and temperature.,Critical,Poor Equipment
06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,Employee Practices
06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,Employee Practices
06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,Food Handling
06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,Employee Practices
06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,Employee Practices
06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,Employee Practices
06G,HACCP plan not approved or approved HACCP plan not maintained on premises.,Critical,Adminstrative
06H,Records and logs not maintained to demonstrate that HACCP plan has been properly implemented.,Critical,Adminstrative
06I,Food not labeled in accordance with HACCP plan.,Critical,Adminstrative
07A,Duties of an officer of the Department interfered with or obstructed.,Critical,Adminstrative
22F,,Not Applicable,Pass or Not Critical
,,Not Applicable,Pass or Not Critical
08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,Pass or Not Critical
08B,"Covered garbage receptacle not provided or inadequate, except that garbage receptacle may be uncovered during active use. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.",Not Critical,Pass or Not Critical
08B,Garbage receptacles not provided or inadequate. Garbage storage area not properly constructed or maintained; grinder or compactor dirty.,Not Critical,Pass or Not Critical
08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,Pass or Not Critical
09A,Canned food product observed dented and not segregated from other consumable food items.,Not Critical,Pass or Not Critical
09B,Thawing procedures improper.,Not Critical,Pass or Not Critical
09B,"Milk or milk product undated, improperly dated or expired.",Not Critical,Pass or Not Critical
09C,Food contact surface not properly maintained.,Not Critical,Pass or Not Critical
10A,"Toilet facility not maintained and provided with toilet paper, waste receptacle and self-closing door.",Not Critical,Pass or Not Critical
10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,Pass or Not Critical
10C,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.",Not Critical,Pass or Not Critical
