timestamp,city,ip,fqdn,site,upload,download
2018-02-01T05:00:36Z,Chicago_IL,66.198.24.75,ndt.iupui.mlab1.ord03.measurement-lab.org,ord03,11.92,92.02
2018-02-01T05:01:13Z,Washington_DC,4.35.238.203,ndt.iupui.mlab1.iad05.measurement-lab.org,iad05,11.74,87.03
2018-02-01T06:00:33Z,Chicago_IL,4.71.251.147,ndt.iupui.mlab1.ord01.measurement-lab.org,ord01,11.82,30.68
2018-02-01T06:01:06Z,Madrid,213.242.96.139,ndt.iupui.mlab1.mad02.measurement-lab.org,mad02,10.94,74.02
2018-02-01T07:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,11.91,91.36
2018-02-01T07:01:06Z,San Francisco Bay Area_CA,66.110.32.75,ndt.iupui.mlab1.nuq04.measurement-lab.org,nuq04,11.07,87.75
2018-02-01T08:00:33Z,Chicago_IL,4.71.251.147,ndt.iupui.mlab1.ord01.measurement-lab.org,ord01,11.92,91.86
2018-02-01T08:01:06Z,San Francisco Bay Area_CA,149.20.5.75,ndt.iupui.mlab1.nuq02.measurement-lab.org,nuq02,0,0
2018-02-01T09:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,11.73,87.96
2018-02-01T09:01:07Z,Frankfurt,77.67.114.11,ndt.iupui.mlab1.fra02.measurement-lab.org,fra02,11.11,74.84
2018-02-01T10:00:33Z,Chicago_IL,66.198.24.75,ndt.iupui.mlab1.ord03.measurement-lab.org,ord03,11.9,92.21
2018-02-01T10:01:10Z,Turin,194.116.85.203,ndt.iupui.mlab1.trn01.measurement-lab.org,trn01,0,0
2018-02-01T11:00:33Z,Chicago_IL,38.65.210.203,ndt.iupui.mlab1.ord02.measurement-lab.org,ord02,11.91,91.78
2018-02-01T12:00:33Z,Chicago_IL,4.71.251.147,ndt.iupui.mlab1.ord01.measurement-lab.org,ord01,11.91,69.49
2018-02-01T12:01:10Z,Miami_FL,173.205.3.139,ndt.iupui.mlab1.mia04.measurement-lab.org,mia04,11.42,84.34
2018-02-01T13:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,11.91,91.43
2018-02-01T13:01:10Z,Lisbon,195.89.147.152,ndt.iupui.mlab2.lis02.measurement-lab.org,lis02,11.03,66.45
2018-02-01T14:00:33Z,Chicago_IL,173.205.3.203,ndt.iupui.mlab1.ord04.measurement-lab.org,ord04,11.9,91.57
2018-02-01T14:01:06Z,Milan,80.239.222.11,ndt.iupui.mlab1.mil02.measurement-lab.org,mil02,10.76,74.77
2018-02-01T15:00:33Z,Chicago_IL,4.71.251.147,ndt.iupui.mlab1.ord01.measurement-lab.org,ord01,11.9,91.52
2018-02-01T15:01:06Z,Washington_DC,4.35.238.203,ndt.iupui.mlab1.iad05.measurement-lab.org,iad05,11.73,90.98
2018-02-01T16:00:33Z,Chicago_IL,66.198.24.75,ndt.iupui.mlab1.ord03.measurement-lab.org,ord03,6.04,92.01
2018-02-01T16:01:06Z,Paris,195.89.147.203,ndt.iupui.mlab1.par05.measurement-lab.org,par05,0,0
2018-02-01T17:00:33Z,Chicago_IL,128.177.163.11,ndt.iupui.mlab1.ord05.measurement-lab.org,ord05,4.62,86.91
